aur,essential,shellcheck-bin
aur,extra,lemonbar-xft-git
aur,extra,nsxiv
aur,extra,raw-thumbnailer
aur,extra,thonkbar-git
aur,extra,web-xdg-open-git
pacman,essential,base-devel
pacman,essential,bash-completion
pacman,essential,bat
pacman,essential,clang
pacman,essential,cmake
pacman,essential,curl
pacman,essential,dust
pacman,essential,eva
pacman,essential,exa
pacman,essential,ffmpeg
pacman,essential,fzf
pacman,essential,git
pacman,essential,github-cli
pacman,essential,htop
pacman,essential,imagemagick
pacman,essential,inetutils
pacman,essential,jq
pacman,essential,less
pacman,essential,man-db
pacman,essential,man-pages
pacman,essential,neofetch
pacman,essential,neovim
pacman,essential,networkmanager
pacman,essential,openssh
pacman,essential,p7zip
pacman,essential,pyright
pacman,essential,python
pacman,essential,python-pip
pacman,essential,rsync
pacman,essential,rustup
pacman,essential,tar
pacman,essential,tmux
pacman,essential,unrar
pacman,essential,unzip
pacman,essential,usbutils
pacman,essential,wget
pacman,essential,xdg-user-dirs
pacman,essential,yt-dlp
pacman,essential,zip
pacman,extra,acpi
pacman,extra,alacritty
pacman,extra,blueberry
pacman,extra,brightnessctl
pacman,extra,clipmenu
pacman,extra,discord
pacman,extra,dunst
pacman,extra,feh
pacman,extra,ffmpegthumbnailer
pacman,extra,firefox
pacman,extra,gimp
pacman,extra,gvfs
pacman,extra,gvfs-gphoto2
pacman,extra,hacksaw
pacman,extra,i3-gaps
pacman,extra,khal
pacman,extra,libnotify
pacman,extra,mpv
pacman,extra,network-manager-applet
pacman,extra,noto-fonts
pacman,extra,noto-fonts-cjk
pacman,extra,noto-fonts-emoji
pacman,extra,pavucontrol
pacman,extra,playerctl
pacman,extra,pulseaudio
pacman,extra,python-i3ipc
pacman,extra,python-watchdog
pacman,extra,qrencode
pacman,extra,shotgun
pacman,extra,simple-scan
pacman,extra,socat
pacman,extra,sxhkd
pacman,extra,thunar
pacman,extra,todoman
pacman,extra,trayer
pacman,extra,ttf-dejavu
pacman,extra,ttf-dejavu-nerd
pacman,extra,ttf-font-awesome
pacman,extra,ttf-liberation
pacman,extra,tumbler
pacman,extra,vdirsyncer
pacman,extra,wireless_tools
pacman,extra,xclip
pacman,extra,xdotool
pacman,extra,xorg-server
pacman,extra,xorg-xdpyinfo
pacman,extra,xorg-xev
pacman,extra,xorg-xinit
pacman,extra,xorg-xrandr
pacman,extra,zathura
pacman,extra,zathura-pdf-mupdf
pip,essential,cmake-language-server
pip,essential,python-qbittorrent
pkg,essential,bat
pkg,essential,clang
pkg,essential,exa
pkg,essential,ffmpeg
pkg,essential,fzf
pkg,essential,git
pkg,essential,htop
pkg,essential,imagemagick
pkg,essential,jq
pkg,essential,make
pkg,essential,man
pkg,essential,neofetch
pkg,essential,neovim
pkg,essential,openssh
pkg,essential,python
pkg,essential,rsync
pkg,essential,shellcheck
pkg,essential,termux-api
pkg,essential,tmux
pkg,essential,tree
pkg,essential,wget
repos,essential,https://github.com/jtexeira/tiny-aura
repos,extra,https://github.com/JoseFilipeFerreira/slock
repos,extra,https://github.com/mendess/dmenu
